IP,type
192.168.2.112,P2P
192.168.5.122,P2P
192.168.2.110,P2P
192.168.4.118,P2P
192.168.2.113,P2P
192.168.1.103,P2P
192.168.4.120,P2P
192.168.2.112,P2P
192.168.2.105,P2P
147.32.84.180,IRC
147.32.84.170,IRC
147.32.84.150,IRC
147.32.84.140,HTTP
147.32.84.130,IRC
147.32.84.160,HTTP
10.0.2.15,P2P
192.168.106.141,P2P
192.168.106.131,P2P
172.16.253.130,IRC
172.16.253.131,IRC
172.16.253.129,IRC
172.16.253.240,IRC
74.78.117.238,P2P
158.65.110.24,P2P
192.168.3.35,P2P
192.168.3.25,P2P
192.168.3.65,P2P
172.29.0.116,P2P
172.29.0.109,P2P
172.16.253.132,P2P
192.168.248.165,P2P
10.37.130.4,P2P